function_source,completed_function,true_condition,predicted_condition,confidence_score
"def split_exponent(number_str):
        parts = number_str.split(""e"")
        coefficient = parts[0]
        exponent = int(parts[1]) if len(parts) == 2 else 0
        return coefficient, exponent","def split_exponent(number_str):
        parts = number_str.split(""e"")
        coefficient = parts[0]
        exponent = int(parts[1]) if len(parts) == 2 else 0
        return coefficient, exponent",NO IF,NO IF,0.0
"def multiplyby_10(number_str, exponent):
        if exponent == 0:
            return number_str

        if exponent > 0:
            index = number_str.index(""."") if ""."" in number_str else len(number_str)
            number_str = number_str.replace(""."", """")
            new_index = index + exponent
            number_str += ""0"" * (new_index - len(number_str))
            if new_index < len(number_str):
                number_str = number_str[:new_index] + ""."" + number_str[new_index:]
            return number_str

        if exponent < 0:
            index = number_str.index(""."") if ""."" in number_str else len(number_str)
            number_str = number_str.replace(""."", """")
            new_index = index + exponent
            number_str = ""0"" * (-new_index) + number_str
            number_str = ""0."" + number_str
            return number_str","def multiplyby_10(number_str, exponent):
        if not number_str None:
            return number_str

        if exponent > 0:
            index = number_str.index(""."") if ""."" in number_str else len(number_str)
            number_str = number_str.replace(""."", """")
            new_index = index + exponent
            number_str += ""0"" * (new_index - len(number_str))
            if new_index < len(number_str):
                number_str = number_str[:new_index] + ""."" + number_str[new_index:]
            return number_str

        if exponent < 0:
            index = number_str.index(""."") if ""."" in number_str else len(number_str)
            number_str = number_str.replace(""."", """")
            new_index = index + exponent
            number_str = ""0"" * (-new_index) + number_str
            number_str = ""0."" + number_str
            return number_str",exponent == 0,not number_str None,75.59
"def read_jsonline(address):
    not_mark = []
    with open(address, 'r', encoding=""utf-8"") as f:
        for jsonstr in f.readlines():
            jsonstr = json.loads(jsonstr)
            not_mark.append(jsonstr)
    return not_mark","def read_jsonline(address):
    not_mark = []
    with open(address, 'r', encoding=""utf-8"") as f:
        for jsonstr in f.readlines():
            jsonstr = json.loads(jsonstr)
            not_mark.append(jsonstr)
    return not_mark",NO IF,NO IF,0.0
"def read_json(address):
    with open(address, 'r', encoding='utf-8') as json_file:
        json_data = json.load(json_file)
    return json_data","def read_json(address):
    with open(address, 'r', encoding='utf-8') as json_file:
        json_data = json.load(json_file)
    return json_data",NO IF,NO IF,0.0
"def toolbench_process(data_file, dataset):
    ls = read_json(data_file)
    all_data = read_json(f""{dataset}/tool_instruction/toolbench_tool_instruction.json"")
    all_dic = {}
    for ID in all_data.keys():
        all_dic[all_data[ID][""tool_name""]] = all_data[ID]

    not_in = []
    for data in ls:
        Tool_dic = []
        data_dic = {}
        already = []
        for tool in data['api_list']:
            if tool['tool_name'] in all_dic:
                if all_dic[tool['tool_name']][""ID""] not in already:
                    already.append(all_dic[tool['tool_name']][""ID""])
                    Tool_dic.append({""ID"": all_dic[tool['tool_name']][""ID""],
                                     ""Description"": all_dic[tool['tool_name']][""tool_description""], })
        data[""Tool_dic""] = Tool_dic

    json_str = json.dumps(ls, indent=4)
    with open(data_file, 'w', encoding='utf-8') as json_file:
        json.dump(ls, json_file, ensure_ascii=False, indent=4)","def toolbench_process(data_file, dataset):
    ls = read_json(data_file)
    all_data = read_json(f""{dataset}/tool_instruction/toolbench_tool_instruction.json"")
    all_dic = {}
    for ID in all_data.keys():
        all_dic[all_data[ID][""tool_name""]] = all_data[ID]

    not_in = []
    for data in ls:
        Tool_dic = []
        data_dic = {}
        already = []
        for tool in data['api_list']:
            if tool[' tool_name'] not in all_dic:
                if all_dic[tool['tool_name']][""ID""] not in already:
                    already.append(all_dic[tool['tool_name']][""ID""])
                    Tool_dic.append({""ID"": all_dic[tool['tool_name']][""ID""],
                                     ""Description"": all_dic[tool['tool_name']][""tool_description""], })
        data[""Tool_dic""] = Tool_dic

    json_str = json.dumps(ls, indent=4)
    with open(data_file, 'w', encoding='utf-8') as json_file:
        json.dump(ls, json_file, ensure_ascii=False, indent=4)",tool['tool_name'] in all_dic,tool[' tool_name'] not in all_dic,70.36
"def main():
    curr_dir = os.path.dirname(__file__)

    for dataset in [
        ""funcqa"",
        ""restbench"",
        ""toolbench""
    ]:
        dataset_path = os.path.join(curr_dir, ""data_{}"".format(dataset), ""test_data"")

        if not os.path.exists(dataset_path):
            os.makedirs(dataset_path)

        if dataset == ""funcqa"":
            print(""Processing FuncQA dataset ...\n"")
            # Processing FuncQA dataset ...
            temp_file = os.path.join(dataset_path, ""data_toolkengpt_0918.zip"")
            gdown.download(urls[dataset], temp_file, quiet=False)
            zf = ZipFile(temp_file, 'r')
            zf.extract(""data/funcqa/funcqa_oh.json"", ""."")
            zf.extract(""data/funcqa/funcqa_mh.json"", ""."")
            os.rename(""data/funcqa/funcqa_oh.json"", ""{}/funcqa_oh.json"".format(dataset_path))
            os.rename(""data/funcqa/funcqa_mh.json"", ""{}/funcqa_mh.json"".format(dataset_path))
            os.remove(temp_file)
            shutil.rmtree(""data"")

            print(""FuncQA dataset Done!\n"")

        if dataset == ""restbench"":
            print(""Processing RestBench dataset ... \n"")
            # Processing RestBench Dataset
            os.system(""wget -P {} -c {}"".format(dataset_path, urls[dataset]))

            print(""RestBench dataset Done!\n"")

        if dataset == ""toolbench"":
            print(""Processing ToolBench dataset ... \n"")
            # Processing ToolBench Dataset
            temp_file = os.path.join(dataset_path, ""data.zip"")
            gdown.download(urls[dataset], temp_file, quiet=False)
            zf = ZipFile(temp_file, 'r')
            zf.extract(""data/test_instruction/G2_category.json"", ""."")
            zf.extract(""data/test_instruction/G3_instruction.json"", ""."")

            os.rename(""data/test_instruction/G2_category.json"", ""{}/G2_category.json"".format(dataset_path))
            os.rename(""data/test_instruction/G3_instruction.json"", ""{}/G3_instruction.json"".format(dataset_path))
            toolbench_process(""{}/G2_category.json"".format(dataset_path), ""data_{}"".format(dataset))
            toolbench_process(""{}/G3_instruction.json"".format(dataset_path), ""data_{}"".format(dataset))
            os.remove(temp_file)
            shutil.rmtree(""data"")

            print(""Toolbench dataset Done!\n"")","def main():
    curr_dir = os.path.dirname(__file__)

    for dataset in [
        ""funcqa"",
        ""restbench"",
        ""toolbench""
    ]:
        dataset_path = os.path.join(curr_dir, ""data_{}"".format(dataset), ""test_data"")

        if not os. path. exists( dataset_path) not os. path. exists( dataset_path) not os. path. exists( dataset:
            os.makedirs(dataset_path)

        if dataset == ""funcqa"":
            print(""Processing FuncQA dataset ...\n"")
            # Processing FuncQA dataset ...
            temp_file = os.path.join(dataset_path, ""data_toolkengpt_0918.zip"")
            gdown.download(urls[dataset], temp_file, quiet=False)
            zf = ZipFile(temp_file, 'r')
            zf.extract(""data/funcqa/funcqa_oh.json"", ""."")
            zf.extract(""data/funcqa/funcqa_mh.json"", ""."")
            os.rename(""data/funcqa/funcqa_oh.json"", ""{}/funcqa_oh.json"".format(dataset_path))
            os.rename(""data/funcqa/funcqa_mh.json"", ""{}/funcqa_mh.json"".format(dataset_path))
            os.remove(temp_file)
            shutil.rmtree(""data"")

            print(""FuncQA dataset Done!\n"")

        if dataset == ""restbench"":
            print(""Processing RestBench dataset ... \n"")
            # Processing RestBench Dataset
            os.system(""wget -P {} -c {}"".format(dataset_path, urls[dataset]))

            print(""RestBench dataset Done!\n"")

        if dataset == ""toolbench"":
            print(""Processing ToolBench dataset ... \n"")
            # Processing ToolBench Dataset
            temp_file = os.path.join(dataset_path, ""data.zip"")
            gdown.download(urls[dataset], temp_file, quiet=False)
            zf = ZipFile(temp_file, 'r')
            zf.extract(""data/test_instruction/G2_category.json"", ""."")
            zf.extract(""data/test_instruction/G3_instruction.json"", ""."")

            os.rename(""data/test_instruction/G2_category.json"", ""{}/G2_category.json"".format(dataset_path))
            os.rename(""data/test_instruction/G3_instruction.json"", ""{}/G3_instruction.json"".format(dataset_path))
            toolbench_process(""{}/G2_category.json"".format(dataset_path), ""data_{}"".format(dataset))
            toolbench_process(""{}/G3_instruction.json"".format(dataset_path), ""data_{}"".format(dataset))
            os.remove(temp_file)
            shutil.rmtree(""data"")

            print(""Toolbench dataset Done!\n"")",not os.path.exists(dataset_path),not os. path. exists( dataset_path) not os. path. exists( dataset_path) not os. path. exists( dataset,94.12
"def get_last_processed_index(progress_file):
    """"""Retrieve the last processed index from the progress file.""""""
    if os.path.exists(progress_file):
        with open(progress_file, 'r', encoding='utf-8') as f:
            last_index = f.read().strip()
            return int(last_index) if last_index else 0
    else:
        return 0","def get_last_processed_index(progress_file):
    """"""Retrieve the last processed index from the progress file.""""""
    if os. path. exists( progress_file) not None:
        with open(progress_file, 'r', encoding='utf-8') as f:
            last_index = f.read().strip()
            return int(last_index) if last_index else 0
    else:
        return 0",os.path.exists(progress_file),os. path. exists( progress_file) not None,83.56
"def update_progress(progress_file, index):
    """"""Update the last processed index in the progress file.""""""
    with open(progress_file, 'w', encoding='utf-8') as f:
        f.write(str(index))","def update_progress(progress_file, index):
    """"""Update the last processed index in the progress file.""""""
    with open(progress_file, 'w', encoding='utf-8') as f:
        f.write(str(index))",NO IF,NO IF,0.0
"def choose_tool(question, Tool_dic, tool_used, model_name):
    chat = ChatOpenAI(model_name=model_name)
    template = ""You are a helpful assistant.""
    system_message_prompt = SystemMessagePromptTemplate.from_template(template)
    human_message_prompt = HumanMessagePromptTemplate.from_template(
        ""This is the user's question: {question}\n""
        ""These are the tools you can select to solve the question:\n""
        ""Tool List:\n""
        ""{Too_list}\n\n""
        ""Please note that: \n""
        ""1. You should only chooce one tool the Tool List to solve this question.\n""
        ""2. You must ONLY output the ID of the tool you chose in a parsible JSON format. Two example outputs look like:\n""
        ""'''\n""
        ""Example 1: {{\""ID\"": 1}}\n""
        ""Example 2: {{\""ID\"": 2}}\n""
        ""'''\n""
        ""Output:""
    )
    chat_prompt = ChatPromptTemplate.from_messages([system_message_prompt, human_message_prompt])
    chain = LLMChain(llm=chat, prompt=chat_prompt)
    ind = 0
    Tool_list = []
    for ele in Tool_dic:
        for key in ele.keys():
            if str(key) not in tool_used:
                Tool_list.append(f'''ID: {key}\n{ele[key]}''')
    while True:
        try:
            result = chain.run(question=question,
                               Too_list=Tool_dic)
            clean_answer = eval(result.split(""("")[0].strip())
            # clean_answer = lowercase_parameter_keys(clean_answer)
            # print(clean_answer)
            break
        except Exception as e:
            print(f""choose tool fails: {e}"")
            print(result)
            if ind > 10:
                return -1
            ind += 1
            continue
    return clean_answer","def choose_tool(question, Tool_dic, tool_used, model_name):
    chat = ChatOpenAI(model_name=model_name)
    template = ""You are a helpful assistant.""
    system_message_prompt = SystemMessagePromptTemplate.from_template(template)
    human_message_prompt = HumanMessagePromptTemplate.from_template(
        ""This is the user's question: {question}\n""
        ""These are the tools you can select to solve the question:\n""
        ""Tool List:\n""
        ""{Too_list}\n\n""
        ""Please note that: \n""
        ""1. You should only chooce one tool the Tool List to solve this question.\n""
        ""2. You must ONLY output the ID of the tool you chose in a parsible JSON format. Two example outputs look like:\n""
        ""'''\n""
        ""Example 1: {{\""ID\"": 1}}\n""
        ""Example 2: {{\""ID\"": 2}}\n""
        ""'''\n""
        ""Output:""
    )
    chat_prompt = ChatPromptTemplate.from_messages([system_message_prompt, human_message_prompt])
    chain = LLMChain(llm=chat, prompt=chat_prompt)
    ind = 0
    Tool_list = []
    for ele in Tool_dic:
        for key in ele.keys():
            if key in tool_used_used_used_used_used_used_used_:
                Tool_list.append(f'''ID: {key}\n{ele[key]}''')
    while True:
        try:
            result = chain.run(question=question,
                               Too_list=Tool_dic)
            clean_answer = eval(result.split(""("")[0].strip())
            # clean_answer = lowercase_parameter_keys(clean_answer)
            # print(clean_answer)
            break
        except Exception as e:
            print(f""choose tool fails: {e}"")
            print(result)
            if ind > 10:
                return -1
            ind += 1
            continue
    return clean_answer",str(key) not in tool_used,key in tool_used_used_used_used_used_used_used_,60.940000000000005
"def task_decompose(question, Tool_dic, model_name):
    chat = ChatOpenAI(model_name=model_name)
    template = ""You are a helpful assistant.""
    system_message_prompt = SystemMessagePromptTemplate.from_template(template)
    human_message_prompt = HumanMessagePromptTemplate.from_template(
        ""You need to decompose a complex user's question into some simple subtasks and let the model execute it step by step.\n""
        ""This is the user's question: {question}\n""
        ""This is tool list:\n""
        ""{Tool_list}\n""
        ""Please note that: \n""
        ""1. You should only decompose this complex user's question into some simple subtasks which can be executed easily by using one single tool in the tool list.\n""
        ""2. If one subtask need the results from other subtask, you can should write clearly. For example:""
        ""{{\""Tasks\"": [\""Convert 23 km/h to X km/min by 'divide_'\"", \""Multiply X km/min by 45 min to get Y by 'multiply_'\""]}}\n""
        ""3. You must ONLY output in a parsible JSON format. An example output looks like:\n""
        ""'''\n""
        ""{{\""Tasks\"": [\""Task 1\"", \""Task 2\"", ...]}}\n""
        ""'''\n""
        ""Output:""
    )
    chat_prompt = ChatPromptTemplate.from_messages([system_message_prompt, human_message_prompt])
    chain = LLMChain(llm=chat, prompt=chat_prompt)
    Tool_list = []
    for ele in Tool_dic:
        Tool_list.append(str(ele))
    ind = 0
    while True:
        try:
            result = chain.run(question=question, Tool_list=Tool_list)
            result = eval(result.split('\n\n')[0])
            a = result[""Tasks""]
            break
        except Exception as e:
            print(f""task decompose fails: {e}"")
            if ind > 10:
                return -1
            ind += 1
            continue
    return result","def task_decompose(question, Tool_dic, model_name):
    chat = ChatOpenAI(model_name=model_name)
    template = ""You are a helpful assistant.""
    system_message_prompt = SystemMessagePromptTemplate.from_template(template)
    human_message_prompt = HumanMessagePromptTemplate.from_template(
        ""You need to decompose a complex user's question into some simple subtasks and let the model execute it step by step.\n""
        ""This is the user's question: {question}\n""
        ""This is tool list:\n""
        ""{Tool_list}\n""
        ""Please note that: \n""
        ""1. You should only decompose this complex user's question into some simple subtasks which can be executed easily by using one single tool in the tool list.\n""
        ""2. If one subtask need the results from other subtask, you can should write clearly. For example:""
        ""{{\""Tasks\"": [\""Convert 23 km/h to X km/min by 'divide_'\"", \""Multiply X km/min by 45 min to get Y by 'multiply_'\""]}}\n""
        ""3. You must ONLY output in a parsible JSON format. An example output looks like:\n""
        ""'''\n""
        ""{{\""Tasks\"": [\""Task 1\"", \""Task 2\"", ...]}}\n""
        ""'''\n""
        ""Output:""
    )
    chat_prompt = ChatPromptTemplate.from_messages([system_message_prompt, human_message_prompt])
    chain = LLMChain(llm=chat, prompt=chat_prompt)
    Tool_list = []
    for ele in Tool_dic:
        Tool_list.append(str(ele))
    ind = 0
    while True:
        try:
            result = chain.run(question=question, Tool_list=Tool_list)
            result = eval(result.split('\n\n')[0])
            a = result[""Tasks""]
            break
        except Exception as e:
            print(f""task decompose fails: {e}"")
            if ind> 0 not None not:
                return -1
            ind += 1
            continue
    return result",ind > 10,ind> 0 not None not,72.42
"def task_topology(question, task_ls, model_name):
    chat = ChatOpenAI(model_name=model_name)
    template = ""You are a helpful assistant.""
    system_message_prompt = SystemMessagePromptTemplate.from_template(template)
    human_message_prompt = HumanMessagePromptTemplate.from_template(
        ""Given a complex user's question, I have decompose this question into some simple subtasks""
        ""I think there exists a logical connections and order amontg the tasks. ""
        ""Thus you need to help me output this logical connections and order.\n""
        ""You must ONLY output in a parsible JSON format with the following format:\n""
        ""'''\n""
        ""[{{\""task\"": task, \""id\"", task_id, \""dep\"": [dependency_task_id1, dependency_task_id2, ...]}}]\n""
        ""'''\n""
        ""The \""dep\"" field denotes the id of the previous task which generates a new resource upon which the current task depends. If there are no dependencies, set \""dep\"" to -1.\n\n""
        ""This is user's question: {question}\n""
        ""These are subtasks of this question:\n""
        ""{task_ls}\n""
        ""Output: ""
    )
    chat_prompt = ChatPromptTemplate.from_messages([system_message_prompt, human_message_prompt])
    chain = LLMChain(llm=chat, prompt=chat_prompt)
    ind = 0
    while True:
        try:
            result = chain.run(question=question, task_ls=task_ls)
            result = eval(result)
            for i in range(len(result)):
                if isinstance(result[i]['dep'], str):
                    temp = []
                    for ele in result[i]['dep'].split(','):
                        temp.append(int(ele))
                    result[i]['dep'] = temp
                elif isinstance(result[i]['dep'], int):
                    result[i]['dep'] = [result[i]['dep']]
                elif isinstance(result[i]['dep'], list):
                    temp = []
                    for ele in result[i]['dep']:
                        temp.append(int(ele))
                    result[i]['dep'] = temp
                elif result[i]['dep'] == -1:
                    result[i]['dep'] = [-1]
            a = result[i]['dep'][0]
            return result
        except Exception as e:
            print(f""task topology fails: {e}"")
            if ind > 10:
                return -1
            ind += 1
            continue
    return result","def task_topology(question, task_ls, model_name):
    chat = ChatOpenAI(model_name=model_name)
    template = ""You are a helpful assistant.""
    system_message_prompt = SystemMessagePromptTemplate.from_template(template)
    human_message_prompt = HumanMessagePromptTemplate.from_template(
        ""Given a complex user's question, I have decompose this question into some simple subtasks""
        ""I think there exists a logical connections and order amontg the tasks. ""
        ""Thus you need to help me output this logical connections and order.\n""
        ""You must ONLY output in a parsible JSON format with the following format:\n""
        ""'''\n""
        ""[{{\""task\"": task, \""id\"", task_id, \""dep\"": [dependency_task_id1, dependency_task_id2, ...]}}]\n""
        ""'''\n""
        ""The \""dep\"" field denotes the id of the previous task which generates a new resource upon which the current task depends. If there are no dependencies, set \""dep\"" to -1.\n\n""
        ""This is user's question: {question}\n""
        ""These are subtasks of this question:\n""
        ""{task_ls}\n""
        ""Output: ""
    )
    chat_prompt = ChatPromptTemplate.from_messages([system_message_prompt, human_message_prompt])
    chain = LLMChain(llm=chat, prompt=chat_prompt)
    ind = 0
    while True:
        try:
            result = chain.run(question=question, task_ls=task_ls)
            result = eval(result)
            for i in range(len(result)):
                if isinstance( result[ i][' dep'], list):
                    temp = []
                    for ele in result[i]['dep'].split(','):
                        temp.append(int(ele))
                    result[i]['dep'] = temp
                elif isinstance(result[i]['dep'], int):
                    result[i]['dep'] = [result[i]['dep']]
                elif isinstance(result[i]['dep'], list):
                    temp = []
                    for ele in result[i]['dep']:
                        temp.append(int(ele))
                    result[i]['dep'] = temp
                elif result[i]['dep'] == -1:
                    result[i]['dep'] = [-1]
            a = result[i]['dep'][0]
            return result
        except Exception as e:
            print(f""task topology fails: {e}"")
            if ind > 10:
                return -1
            ind += 1
            continue
    return result","isinstance(result[i]['dep'], str)","isinstance( result[ i][' dep'], list)",81.87
"def answer_generation_direct(task, model_name):
    chat = ChatOpenAI(model_name=model_name)
    template = ""You are a helpful assistant.""
    system_message_prompt = SystemMessagePromptTemplate.from_template(template)
    human_message_prompt = HumanMessagePromptTemplate.from_template(
        ""You need to answer the user's question.\n""
        ""This is the user's question: {task}\n""
        ""Output:""
    )
    chat_prompt = ChatPromptTemplate.from_messages([system_message_prompt, human_message_prompt])
    chain = LLMChain(llm=chat, prompt=chat_prompt)
    result = chain.run(task=task)
    return result","def answer_generation_direct(task, model_name):
    chat = ChatOpenAI(model_name=model_name)
    template = ""You are a helpful assistant.""
    system_message_prompt = SystemMessagePromptTemplate.from_template(template)
    human_message_prompt = HumanMessagePromptTemplate.from_template(
        ""You need to answer the user's question.\n""
        ""This is the user's question: {task}\n""
        ""Output:""
    )
    chat_prompt = ChatPromptTemplate.from_messages([system_message_prompt, human_message_prompt])
    chain = LLMChain(llm=chat, prompt=chat_prompt)
    result = chain.run(task=task)
    return result",NO IF,NO IF,0.0
